platform,caption,likes,views,hashtags,caption_length,sentiment,virality_score
Facebook,A quiet afternoon walk in the park. #nature #relax,6780,8889,#daily #update #project #news,9,0.0,246.54
Facebook,So proud of this accomplishment! Hard work pays off. 💪,35029,697033,#joy #inspiration #blessed,10,0.35416666666666663,284.18
Facebook,Reviewing the latest industry report. Interesting findings.,2840,114291,#news #update,7,0.5,241.55
YouTube,Testing out a new feature. Feedback welcome.,3655,1445277,#project #update #facts,7,0.4681818181818182,295.73
YouTube,So proud of this accomplishment! Hard work pays off. 💪,177755,1817192,#happiness #blessed #inspiration #success,10,0.35416666666666663,370.05
Instagram,Reviewing the latest industry report. Interesting findings.,607712,1164364,#update #info,7,0.5,301.68
Instagram,So proud of this accomplishment! Hard work pays off. 💪,5981,6703,#inspiration #happiness,10,0.35416666666666663,165.64
X,Good vibes only. Spread happiness! ❤️,172,1121,#positivevibes #happiness #blessed #joy,6,0.525,120.73
Instagram,Testing out a new feature. Feedback welcome.,354,1735,#update #project,7,0.4681818181818182,152.57
YouTube,Worst experience ever. So frustrating and a waste of time. 👎,14789,42416,#disaster #problem #fail,11,-0.5333333333333333,222.11
Facebook,Captured this moment. #dailyphoto,1629,12131,#update #daily #info #facts,4,0.0,208.07
YouTube,What an amazing experience! Definitely a must-see. 🔥,366,2997,#blessed #success,8,0.37500000000000006,167.58
X,Absolutely disgusted by this terrible news. A complete disaster. 😠,14695,222495,#struggle #problem,10,-0.6333333333333333,203.07
Facebook,Absolutely loving this! So much joy and inspiration. ✨,7734,8418,#positivevibes #blessed,9,0.775,239.47
X,Good vibes only. Spread happiness! ❤️,196632,470941,#joy #inspiration,6,0.525,265.08
Instagram,Can't believe this happened. Feeling really frustrated and disappointed. 😞,181,1000,#frustration #unacceptable,10,-0.725,125.73
Instagram,Captured this moment. #dailyphoto,129,1659,#facts #update,4,0.0,78.64
YouTube,Deeply concerned about the future. #crisis #worry,2334,11415,#fail #unacceptable #frustration #struggle,7,0.0,220.94
X,Absolutely disgusted by this terrible news. A complete disaster. 😠,1779,6364,#frustration #unacceptable #struggle,10,-0.6333333333333333,164.5
X,Testing out a new feature. Feedback welcome.,6051,1042450,#update #project #facts #daily,7,0.4681818181818182,265.49
X,So proud of this accomplishment! Hard work pays off. 💪,8761,46577,#positivevibes #blessed #happiness #success,10,0.35416666666666663,208.52
Instagram,Good vibes only. Spread happiness! ❤️,3992,15006,#success #blessed,6,0.525,226.18
Facebook,Reviewing the latest industry report. Interesting findings.,8497,22286,#project #update #info,7,0.5,258.62
YouTube,A quiet afternoon walk in the park. #nature #relax,84766,650300,#info #update #news #project,9,0.0,328.31
Instagram,Good vibes only. Spread happiness! ❤️,999,6739,#joy #positivevibes #success,6,0.525,207.69
Instagram,Absolutely disgusted by this terrible news. A complete disaster. 😠,143,1000,#frustration #unacceptable,10,-0.6333333333333333,78.86
Instagram,Feeling incredibly happy and grateful today. Best day ever! 😊,90615,2904101,#happiness #blessed,10,0.9,335.33
Instagram,Testing out a new feature. Feedback welcome.,1724,23577,#daily #news #update,7,0.4681818181818182,206.8
Instagram,Reviewing the latest industry report. Interesting findings.,4235,23073,#news #update,7,0.5,212.98
Instagram,Captured this moment. #dailyphoto,100,1100,#daily #facts #project,4,0.0,113.55
Facebook,Testing out a new feature. Feedback welcome.,100,1000,#news #info,7,0.4681818181818182,123.51
YouTube,Just sharing an update on the project. More details soon.,572,23451,#update #project,10,0.5,237.87
Instagram,Can't believe this happened. Feeling really frustrated and disappointed. 😞,78088,2964127,#struggle #problem #fail,10,-0.725,250.77
Instagram,Good vibes only. Spread happiness! ❤️,671,1000,#positivevibes #success #inspiration,6,0.525,160.74
Instagram,Just sharing an update on the project. More details soon.,4518,17842,#news #facts,10,0.5,205.36
Facebook,What an amazing experience! Definitely a must-see. 🔥,2748,90563,#happiness #blessed,8,0.37500000000000006,208.15
Facebook,Good vibes only. Spread happiness! ❤️,100,4038,#inspiration #blessed #positivevibes,6,0.525,139.61
Facebook,What an amazing experience! Definitely a must-see. 🔥,1416,59505,#joy #blessed,8,0.37500000000000006,246.38
YouTube,Reviewing the latest industry report. Interesting findings.,2024,29058,#news #update #daily,7,0.5,228.04
Facebook,Deeply concerned about the future. #crisis #worry,122269,122871,#unacceptable #struggle #problem #disaster,7,0.0,316.76
Facebook,This is unacceptable. Major issues need to be addressed immediately. 😡,186778,265528,#unacceptable #disaster,11,0.0625,298.87
X,Feeling incredibly happy and grateful today. Best day ever! 😊,33273,135935,#happiness #blessed #inspiration #positivevibes,10,0.9,281.6
Facebook,Can't believe this happened. Feeling really frustrated and disappointed. 😞,181,1000,#unacceptable #problem #struggle,10,-0.725,159.86
Facebook,Captured this moment. #dailyphoto,138,3241,#update #info #news #facts,4,0.0,179.99
Facebook,Reviewing the latest industry report. Interesting findings.,752,124270,#project #daily #facts #update,7,0.5,228.39
YouTube,Good vibes only. Spread happiness! ❤️,119,1000,#happiness #inspiration #positivevibes #blessed,6,0.525,170.23
YouTube,This is unacceptable. Major issues need to be addressed immediately. 😡,124,1717,#problem #disaster #struggle #unacceptable,11,0.0625,159.93
X,Feeling incredibly happy and grateful today. Best day ever! 😊,3965,21673,#success #inspiration,10,0.9,223.2
YouTube,Good vibes only. Spread happiness! ❤️,388,4754,#blessed #success #inspiration,6,0.525,203.26
YouTube,Worst experience ever. So frustrating and a waste of time. 👎,10521,11334,#disaster #fail,11,-0.5333333333333333,249.19
YouTube,So proud of this accomplishment! Hard work pays off. 💪,2878,12293,#happiness #positivevibes #inspiration,10,0.35416666666666663,246.44
YouTube,Captured this moment. #dailyphoto,4431,19403,#update #project #facts,4,0.0,286.99
Facebook,Good vibes only. Spread happiness! ❤️,3076,6875,#success #inspiration #positivevibes #joy,6,0.525,215.59
Facebook,Worst experience ever. So frustrating and a waste of time. 👎,5457,15733,#fail #struggle,11,-0.5333333333333333,240.99
X,Just sharing an update on the project. More details soon.,4074,6121,#facts #update,10,0.5,187.36
X,Deeply concerned about the future. #crisis #worry,430,2102,#fail #unacceptable,7,0.0,156.14
YouTube,Just sharing an update on the project. More details soon.,6171,43599,#info #daily #facts #news,10,0.5,259.91
Instagram,Good vibes only. Spread happiness! ❤️,142,2635,#joy #happiness,6,0.525,152.74
Facebook,Worst experience ever. So frustrating and a waste of time. 👎,1833,3939,#struggle #disaster,11,-0.5333333333333333,186.77
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,113,1936,#frustration #unacceptable #struggle #problem,10,-0.725,144.75
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,47281,47538,#frustration #unacceptable #problem #struggle,10,-0.725,212.48
Instagram,Deeply concerned about the future. #crisis #worry,4616,71904,#struggle #fail #disaster,7,0.0,237.21
Facebook,So proud of this accomplishment! Hard work pays off. 💪,100,1113,#positivevibes #happiness #joy,10,0.35416666666666663,150.95
X,Feeling incredibly happy and grateful today. Best day ever! 😊,66443,286130,#inspiration #positivevibes,10,0.9,211.44
X,Absolutely loving this! So much joy and inspiration. ✨,5150,12162,#blessed #joy,9,0.775,181.56
YouTube,This is unacceptable. Major issues need to be addressed immediately. 😡,171,4903,#unacceptable #problem #disaster,11,0.0625,172.07
Instagram,Absolutely loving this! So much joy and inspiration. ✨,1429,8743,#inspiration #blessed #positivevibes,9,0.775,211.92
Facebook,Just sharing an update on the project. More details soon.,171,4404,#info #project #daily,10,0.5,152.66
YouTube,Feeling incredibly happy and grateful today. Best day ever! 😊,201,1000,#happiness #blessed #joy #positivevibes,10,0.9,203.19
Instagram,Deeply concerned about the future. #crisis #worry,130,2072,#problem #disaster,7,0.0,152.34
Facebook,Can't believe this happened. Feeling really frustrated and disappointed. 😞,84446,171769,#problem #disaster #struggle #frustration,10,-0.725,256.63
Facebook,Absolutely disgusted by this terrible news. A complete disaster. 😠,105644,512052,#disaster #problem,10,-0.6333333333333333,304.7
X,What an amazing experience! Definitely a must-see. 🔥,404,16173,#success #happiness #blessed #inspiration,8,0.37500000000000006,191.01
X,Worst experience ever. So frustrating and a waste of time. 👎,54516,2318076,#struggle #fail #problem,11,-0.5333333333333333,237.96
YouTube,This is unacceptable. Major issues need to be addressed immediately. 😡,15386,23352,#struggle #problem #disaster,11,0.0625,271.3
YouTube,Reviewing the latest industry report. Interesting findings.,9225,15823,#facts #info #project #daily,7,0.5,261.75
Facebook,Absolutely loving this! So much joy and inspiration. ✨,2797,3121,#blessed #positivevibes #happiness,9,0.775,207.24
Instagram,Absolutely disgusted by this terrible news. A complete disaster. 😠,2147,7778,#frustration #problem,10,-0.6333333333333333,138.34
YouTube,Reviewing the latest industry report. Interesting findings.,191,2645,#info #project,7,0.5,190.9
X,Captured this moment. #dailyphoto,16280,16848,#facts #info #daily,4,0.0,229.89
Facebook,What an amazing experience! Definitely a must-see. 🔥,27236,543859,#positivevibes #joy #happiness #blessed,8,0.37500000000000006,282.44
YouTube,Worst experience ever. So frustrating and a waste of time. 👎,261,1000,#unacceptable #fail #disaster,11,-0.5333333333333333,163.4
Facebook,Worst experience ever. So frustrating and a waste of time. 👎,14489,15251,#problem #disaster #struggle #frustration,11,-0.5333333333333333,224.11
X,Feeling incredibly happy and grateful today. Best day ever! 😊,2214,27539,#success #blessed #joy,10,0.9,179.32
X,A quiet afternoon walk in the park. #nature #relax,1865,28266,#update #info,9,0.0,161.81
X,A quiet afternoon walk in the park. #nature #relax,107027,487469,#facts #news #update,9,0.0,233.4
Facebook,So proud of this accomplishment! Hard work pays off. 💪,347,13907,#success #blessed #happiness,10,0.35416666666666663,182.8
YouTube,Good vibes only. Spread happiness! ❤️,9912,41010,#joy #happiness,6,0.525,277.37
Instagram,Reviewing the latest industry report. Interesting findings.,2898,124470,#daily #news #update #info,7,0.5,190.47
X,This is unacceptable. Major issues need to be addressed immediately. 😡,133,2340,#problem #disaster #unacceptable #struggle,11,0.0625,123.72
YouTube,Feeling incredibly happy and grateful today. Best day ever! 😊,117,3301,#joy #positivevibes #blessed #inspiration,10,0.9,190.8
Instagram,Absolutely loving this! So much joy and inspiration. ✨,100,1000,#inspiration #success #happiness #joy,9,0.775,150.94
Facebook,Feeling incredibly happy and grateful today. Best day ever! 😊,205,1000,#success #blessed #positivevibes,10,0.9,160.97
X,A quiet afternoon walk in the park. #nature #relax,4502,21032,#news #daily #info #project,9,0.0,181.71
YouTube,What an amazing experience! Definitely a must-see. 🔥,100,5091,#joy #blessed #happiness,8,0.37500000000000006,179.98
Instagram,Absolutely loving this! So much joy and inspiration. ✨,436,1613,#happiness #positivevibes #inspiration,9,0.775,170.66
Instagram,What an amazing experience! Definitely a must-see. 🔥,151,1000,#success #positivevibes #inspiration,8,0.37500000000000006,152.37
X,Feeling incredibly happy and grateful today. Best day ever! 😊,3773,149326,#inspiration #joy,10,0.9,182.0
Instagram,What an amazing experience! Definitely a must-see. 🔥,134,4071,#positivevibes #joy #happiness #inspiration,8,0.37500000000000006,169.72
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,133,1000,#fail #struggle #frustration #unacceptable,10,-0.725,78.21
X,Worst experience ever. So frustrating and a waste of time. 👎,107,2412,#fail #unacceptable #struggle,11,-0.5333333333333333,101.64
Facebook,Just sharing an update on the project. More details soon.,160,1975,#update #info #facts #project,10,0.5,150.88
Instagram,Feeling incredibly happy and grateful today. Best day ever! 😊,27789,739186,#joy #inspiration,10,0.9,269.28
Instagram,This is unacceptable. Major issues need to be addressed immediately. 😡,100,1000,#frustration #unacceptable,11,0.0625,139.03
Facebook,Good vibes only. Spread happiness! ❤️,256,1533,#success #positivevibes #blessed,6,0.525,163.32
YouTube,Feeling incredibly happy and grateful today. Best day ever! 😊,2435,34972,#inspiration #happiness,10,0.9,234.63
Instagram,Reviewing the latest industry report. Interesting findings.,9720,524096,#daily #facts #project #update,7,0.5,228.14
Instagram,Captured this moment. #dailyphoto,348,1096,#update #info #news #daily,4,0.0,152.59
Instagram,Deeply concerned about the future. #crisis #worry,91968,423732,#unacceptable #problem #frustration,7,0.0,269.43
X,Deeply concerned about the future. #crisis #worry,4813,76539,#fail #struggle,7,0.0,212.84
YouTube,So proud of this accomplishment! Hard work pays off. 💪,52232,81658,#joy #happiness #blessed,10,0.35416666666666663,297.37
X,Reviewing the latest industry report. Interesting findings.,365437,4217069,#facts #project #info,7,0.5,312.23
Facebook,So proud of this accomplishment! Hard work pays off. 💪,5153,7571,#joy #success,10,0.35416666666666663,245.63
YouTube,Good vibes only. Spread happiness! ❤️,315,1000,#joy #happiness #success #blessed,6,0.525,171.34
YouTube,Feeling incredibly happy and grateful today. Best day ever! 😊,26786,341732,#inspiration #blessed,10,0.9,309.17
YouTube,Absolutely loving this! So much joy and inspiration. ✨,2044,48668,#blessed #inspiration #success #happiness,9,0.775,222.64
Instagram,Absolutely disgusted by this terrible news. A complete disaster. 😠,289,7290,#unacceptable #struggle,10,-0.6333333333333333,134.66
Facebook,Deeply concerned about the future. #crisis #worry,54632,151363,#problem #unacceptable #frustration,7,0.0,258.31
X,So proud of this accomplishment! Hard work pays off. 💪,18214,3164894,#joy #inspiration #happiness,10,0.35416666666666663,255.08
Facebook,Good vibes only. Spread happiness! ❤️,9681,12286,#happiness #inspiration #blessed,6,0.525,217.44
Facebook,Good vibes only. Spread happiness! ❤️,247338,517225,#blessed #happiness #success,6,0.525,356.62
Instagram,Can't believe this happened. Feeling really frustrated and disappointed. 😞,64915,1872468,#unacceptable #disaster #struggle #frustration,10,-0.725,267.44
Facebook,Reviewing the latest industry report. Interesting findings.,100,1606,#news #update,7,0.5,164.4
Facebook,Absolutely disgusted by this terrible news. A complete disaster. 😠,4533,21512,#frustration #fail #disaster,10,-0.6333333333333333,196.41
Instagram,What an amazing experience! Definitely a must-see. 🔥,50199,112081,#inspiration #success #joy,8,0.37500000000000006,251.94
YouTube,Testing out a new feature. Feedback welcome.,100,1000,#daily #project #facts,7,0.4681818181818182,140.14
Instagram,Absolutely loving this! So much joy and inspiration. ✨,47602,10678565,#blessed #happiness,9,0.775,315.14
YouTube,Worst experience ever. So frustrating and a waste of time. 👎,1920,15119,#unacceptable #frustration #problem #struggle,11,-0.5333333333333333,242.39
Instagram,This is unacceptable. Major issues need to be addressed immediately. 😡,100,1000,#struggle #fail,11,0.0625,125.76
Instagram,A quiet afternoon walk in the park. #nature #relax,102,3033,#facts #update #info,9,0.0,156.3
X,Deeply concerned about the future. #crisis #worry,873,21699,#problem #fail #struggle,7,0.0,119.01
X,Absolutely loving this! So much joy and inspiration. ✨,109,1000,#positivevibes #joy,9,0.775,125.14
YouTube,Captured this moment. #dailyphoto,2071,26428,#update #daily #info #facts,4,0.0,238.73
X,Absolutely disgusted by this terrible news. A complete disaster. 😠,149,3350,#disaster #unacceptable #struggle,10,-0.6333333333333333,132.25
Facebook,This is unacceptable. Major issues need to be addressed immediately. 😡,6205,49713,#struggle #disaster #fail #problem,11,0.0625,233.7
YouTube,What an amazing experience! Definitely a must-see. 🔥,336395,336617,#success #joy,8,0.37500000000000006,345.12
X,Testing out a new feature. Feedback welcome.,100,2721,#project #update #info,7,0.4681818181818182,118.48
Instagram,Worst experience ever. So frustrating and a waste of time. 👎,100,1154,#unacceptable #struggle #fail #disaster,11,-0.5333333333333333,120.34
X,Deeply concerned about the future. #crisis #worry,3416,63756,#frustration #disaster #fail,7,0.0,208.54
YouTube,What an amazing experience! Definitely a must-see. 🔥,22090,449958,#joy #happiness #positivevibes,8,0.37500000000000006,287.86
X,Absolutely loving this! So much joy and inspiration. ✨,6919,33966,#happiness #blessed,9,0.775,230.91
Facebook,So proud of this accomplishment! Hard work pays off. 💪,1714,41457,#inspiration #happiness #positivevibes,10,0.35416666666666663,250.69
X,Absolutely disgusted by this terrible news. A complete disaster. 😠,747,10427,#fail #frustration #struggle,10,-0.6333333333333333,155.66
Facebook,Deeply concerned about the future. #crisis #worry,1712,66858,#unacceptable #problem,7,0.0,219.24
Instagram,Testing out a new feature. Feedback welcome.,3129,3376,#project #news #daily,7,0.4681818181818182,221.13
Facebook,Feeling incredibly happy and grateful today. Best day ever! 😊,901,5900,#joy #positivevibes #inspiration,10,0.9,206.36
X,Testing out a new feature. Feedback welcome.,9577,12294,#news #info #facts,7,0.4681818181818182,214.17
Instagram,Testing out a new feature. Feedback welcome.,126,1919,#info #facts,7,0.4681818181818182,128.19
Facebook,Absolutely disgusted by this terrible news. A complete disaster. 😠,24079,3866004,#disaster #problem #struggle #unacceptable,10,-0.6333333333333333,269.18
X,Good vibes only. Spread happiness! ❤️,562614,1789977,#success #positivevibes,6,0.525,251.03
Facebook,What an amazing experience! Definitely a must-see. 🔥,11314,11487,#joy #inspiration,8,0.37500000000000006,309.46
YouTube,Feeling incredibly happy and grateful today. Best day ever! 😊,5676,871788,#positivevibes #blessed #success,10,0.9,317.95
Instagram,So proud of this accomplishment! Hard work pays off. 💪,1378,18400,#happiness #positivevibes,10,0.35416666666666663,190.51
Facebook,Feeling incredibly happy and grateful today. Best day ever! 😊,10125,11083,#blessed #happiness,10,0.9,233.1
Instagram,Can't believe this happened. Feeling really frustrated and disappointed. 😞,310,1000,#unacceptable #fail #frustration #struggle,10,-0.725,138.96
Facebook,What an amazing experience! Definitely a must-see. 🔥,366,3770,#success #inspiration,8,0.37500000000000006,159.7
YouTube,Just sharing an update on the project. More details soon.,21191,96524,#daily #news #facts,10,0.5,325.0
Instagram,Absolutely loving this! So much joy and inspiration. ✨,402,14801,#positivevibes #happiness #blessed,9,0.775,206.1
Instagram,Absolutely disgusted by this terrible news. A complete disaster. 😠,2456,340368,#problem #disaster #frustration #struggle,10,-0.6333333333333333,200.5
Facebook,Testing out a new feature. Feedback welcome.,100,1000,#facts #project,7,0.4681818181818182,140.14
YouTube,A quiet afternoon walk in the park. #nature #relax,4121,34424,#info #facts,9,0.0,257.38
Facebook,Absolutely disgusted by this terrible news. A complete disaster. 😠,1593,5523,#fail #unacceptable,10,-0.6333333333333333,175.43
Instagram,A quiet afternoon walk in the park. #nature #relax,4178,30143,#news #info #facts,9,0.0,181.57
Instagram,Just sharing an update on the project. More details soon.,1621,8335,#info #daily #facts #update,10,0.5,201.64
YouTube,Good vibes only. Spread happiness! ❤️,100,1410,#blessed #inspiration #success #happiness,6,0.525,174.31
Facebook,So proud of this accomplishment! Hard work pays off. 💪,216,3759,#joy #success #inspiration,10,0.35416666666666663,169.46
X,Feeling incredibly happy and grateful today. Best day ever! 😊,1430,9481,#happiness #inspiration,10,0.9,214.6
X,Deeply concerned about the future. #crisis #worry,7790,19386,#disaster #struggle #frustration,7,0.0,172.16
Facebook,Good vibes only. Spread happiness! ❤️,140,1414,#success #blessed #inspiration #joy,6,0.525,163.36
Facebook,So proud of this accomplishment! Hard work pays off. 💪,2368,20645,#positivevibes #joy #blessed #success,10,0.35416666666666663,174.26
X,Reviewing the latest industry report. Interesting findings.,496218,496624,#project #info #news,7,0.5,275.66
Instagram,Testing out a new feature. Feedback welcome.,1460,5344,#update #facts #info,7,0.4681818181818182,182.0
Instagram,A quiet afternoon walk in the park. #nature #relax,3942,221151,#facts #news #project,9,0.0,209.98
Instagram,This is unacceptable. Major issues need to be addressed immediately. 😡,9656,16865,#disaster #fail #struggle,11,0.0625,216.04
Instagram,This is unacceptable. Major issues need to be addressed immediately. 😡,10877,28006,#unacceptable #struggle #disaster,11,0.0625,265.6
YouTube,Can't believe this happened. Feeling really frustrated and disappointed. 😞,3888,8749,#unacceptable #fail,10,-0.725,201.9
Instagram,A quiet afternoon walk in the park. #nature #relax,319,1000,#facts #info #update,9,0.0,178.16
YouTube,Can't believe this happened. Feeling really frustrated and disappointed. 😞,200,1000,#unacceptable #disaster,10,-0.725,132.23
Instagram,Worst experience ever. So frustrating and a waste of time. 👎,782,10370,#problem #struggle #fail,11,-0.5333333333333333,144.98
Facebook,Worst experience ever. So frustrating and a waste of time. 👎,4441,77232,#problem #unacceptable #frustration #fail,11,-0.5333333333333333,217.82
Facebook,Absolutely loving this! So much joy and inspiration. ✨,236,1530,#success #happiness #joy,9,0.775,165.07
Facebook,Testing out a new feature. Feedback welcome.,451,3160,#news #update,7,0.4681818181818182,149.21
YouTube,Reviewing the latest industry report. Interesting findings.,33154,868496,#update #news #info,7,0.5,340.05
Facebook,What an amazing experience! Definitely a must-see. 🔥,120,1000,#happiness #joy,8,0.37500000000000006,150.88
YouTube,Can't believe this happened. Feeling really frustrated and disappointed. 😞,61684,16734686,#frustration #struggle,10,-0.725,346.9
Facebook,Absolutely disgusted by this terrible news. A complete disaster. 😠,3374,41992,#disaster #frustration,10,-0.6333333333333333,191.43
YouTube,Reviewing the latest industry report. Interesting findings.,100,1104,#news #daily,7,0.5,183.06
X,So proud of this accomplishment! Hard work pays off. 💪,5558,55712,#happiness #success,10,0.35416666666666663,194.51
X,Good vibes only. Spread happiness! ❤️,1119,2285,#inspiration #joy #blessed,6,0.525,151.47
YouTube,Just sharing an update on the project. More details soon.,112,1197,#update #facts #info #news,10,0.5,165.85
YouTube,Reviewing the latest industry report. Interesting findings.,7424,45367,#daily #facts #info #news,7,0.5,242.88
Facebook,Deeply concerned about the future. #crisis #worry,2506,19912,#disaster #fail #unacceptable #problem,7,0.0,246.68
X,Absolutely loving this! So much joy and inspiration. ✨,151,5265,#happiness #success #positivevibes #inspiration,9,0.775,170.58
Instagram,Good vibes only. Spread happiness! ❤️,4103,32241,#blessed #success,6,0.525,269.04
Instagram,This is unacceptable. Major issues need to be addressed immediately. 😡,208,1584,#frustration #struggle #unacceptable,11,0.0625,101.44
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,172,1872,#struggle #unacceptable #problem #frustration,10,-0.725,132.39
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,514,3084,#frustration #problem #unacceptable,10,-0.725,133.92
X,Can't believe this happened. Feeling really frustrated and disappointed. 😞,21707,3380862,#disaster #struggle #unacceptable #frustration,10,-0.725,237.8
X,Testing out a new feature. Feedback welcome.,282682,462399,#facts #project #news #daily,7,0.4681818181818182,227.95
Instagram,What an amazing experience! Definitely a must-see. 🔥,1184,21888,#joy #inspiration #positivevibes,8,0.37500000000000006,212.21
YouTube,Just sharing an update on the project. More details soon.,100,1000,#facts #update,10,0.5,149.94
Facebook,Captured this moment. #dailyphoto,1078,7392,#project #daily,4,0.0,178.68
YouTube,Captured this moment. #dailyphoto,100,1000,#info #update,4,0.0,194.77
Facebook,Feeling incredibly happy and grateful today. Best day ever! 😊,4389,6932,#inspiration #joy,10,0.9,223.03
YouTube,This is unacceptable. Major issues need to be addressed immediately. 😡,366,1658,#struggle #disaster,11,0.0625,162.17
YouTube,Testing out a new feature. Feedback welcome.,224,1000,#daily #update #news,7,0.4681818181818182,189.33
Instagram,Feeling incredibly happy and grateful today. Best day ever! 😊,1629,2113,#blessed #success,10,0.9,194.31
Facebook,Just sharing an update on the project. More details soon.,775,30219,#project #daily,10,0.5,175.42
Facebook,Absolutely disgusted by this terrible news. A complete disaster. 😠,269,2140,#struggle #fail,10,-0.6333333333333333,134.44
X,Testing out a new feature. Feedback welcome.,1397,10038,#update #info #project,7,0.4681818181818182,149.77
X,Worst experience ever. So frustrating and a waste of time. 👎,386,1000,#frustration #unacceptable #problem,11,-0.5333333333333333,102.79
YouTube,Can't believe this happened. Feeling really frustrated and disappointed. 😞,100,1016,#frustration #disaster #fail #problem,10,-0.725,158.85
Facebook,Testing out a new feature. Feedback welcome.,100,1283,#news #project #update,7,0.4681818181818182,133.98
YouTube,Deeply concerned about the future. #crisis #worry,336,1000,#struggle #frustration,7,0.0,154.8
Facebook,Absolutely loving this! So much joy and inspiration. ✨,3756,10464,#inspiration #positivevibes,9,0.775,236.04
Facebook,So proud of this accomplishment! Hard work pays off. 💪,5048,158057,#positivevibes #happiness #joy,10,0.35416666666666663,267.43
X,What an amazing experience! Definitely a must-see. 🔥,109754,2115387,#joy #blessed #positivevibes,8,0.37500000000000006,285.58
Instagram,Reviewing the latest industry report. Interesting findings.,44494,91827,#daily #update #news,7,0.5,288.75
Facebook,What an amazing experience! Definitely a must-see. 🔥,860,15635,#joy #inspiration #positivevibes #success,8,0.37500000000000006,243.61
